number of outliers: 20
id,time,value
1,2023:07:04 18:09:30,893.7
1,2023:07:04 18:10:00,628.7
1,2023:07:04 18:12:30,818.4
1,2023:07:04 18:16:00,748.0
1,2023:07:04 18:17:30,987.2
1,2023:07:04 18:19:00,957.8
1,2023:07:04 18:22:00,813.9
1,2023:07:04 18:31:30,837.5
1,2023:07:04 18:36:30,824.6
1,2023:07:04 18:37:30,865.8
1,2023:07:04 18:38:30,903.6
1,2023:07:04 18:45:30,943.0
1,2023:07:04 18:47:00,959.2
1,2023:07:04 18:49:00,788.2
1,2023:07:04 18:50:30,895.8
1,2023:07:04 18:51:00,753.6
1,2023:07:04 18:51:30,606.0
1,2023:07:04 18:52:00,3.4
1,2023:07:04 18:56:30,803.6
1,2023:07:04 18:57:00,984.1
